Title: SPARC: Mass Models for 175 Disk Galaxies with Spitzer Photometry 
       and Accurate Rotation Curves 
Authors: Lelli F., McGaugh S.S., Schombert J.M.
Table: Mass Models
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units        Label   Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---          ID      Galaxy identifier
  13- 18 F6.2   Mpc          D       Assumed distance
  20- 25 F6.2   kpc          R       Galactocentric radius
  27- 32 F6.2   km/s         Vobs    Observed circular velocity
  34- 38 F5.2   km/s       e_Vobs    Uncertainty in Vobs (1)
  40- 45 F6.2   km/s         Vgas    Gas velocity contribution (2)
  47- 52 F6.2   km/s         Vdisk   Disk velocity contribution (3)
  54- 59 F6.2   km/s         Vbul    Bulge velocity contribution (3)
  61- 67 F7.2   solLum/pc2   SBdisk  Disk surface brightness
  69- 76 F8.2   solLum/pc2   SBbul   Bulge surface brightness
--------------------------------------------------------------------------------
Note (1): Random error due to non-circular motions and/or kinematic asymmetries.
It does not include systematic uncertainties due to inclination corrections.
Note (2): Vgas includes a factor 1.33 to account for cosmological helium.
Note (3): Vdisk and Vbul are given for M/L = 1 solMass/solLum at [3.6].
--------------------------------------------------------------------------------
CamB          3.36   0.16   1.99  1.50   1.86   3.75   0.00   30.32     0.00 
CamB          3.36   0.41   4.84  1.50   4.24   9.47   0.00   23.77     0.00 
CamB          3.36   0.57   6.79  1.50   5.61  11.76   0.00   15.87     0.00 
CamB          3.36   0.73   8.87  1.50   6.77  13.72   0.00   12.40     0.00 
CamB          3.36   0.90  10.90  1.50   7.77  14.80   0.00    9.63     0.00 
CamB          3.36   1.06  12.90  1.50   8.44  15.24   0.00    5.86     0.00 
CamB          3.36   1.22  14.70  1.50   8.64  15.11   0.00    5.19     0.00 
CamB          3.36   1.47  16.80  1.50   8.08  15.90   0.00    3.02     0.00 
CamB          3.36   1.79  20.10  1.50   6.91  14.91   0.00    0.88     0.00 
D512-2       15.2    0.96  22.90  2.71   4.08  14.85   0.00   16.45     0.00 
D512-2       15.2    1.92  33.50  2.71   6.24  21.20   0.00    7.40     0.00 
D512-2       15.2    2.88  37.20  4.19   7.45  20.56   0.00    2.72     0.00 
D512-2       15.2    3.83  35.90  5.98   8.09  20.08   0.00    1.79     0.00 
D564-8        8.79   0.51   8.54  1.53   3.47   6.36   0.00    6.37     0.00 
D564-8        8.79   1.02  15.10  1.41   5.33   8.66   0.00    2.82     0.00 
D564-8        8.79   1.53  19.80  1.80   6.34   9.09   0.00    1.19     0.00 
D564-8        8.79   2.04  21.90  1.82   6.86   8.75   0.00    0.52     0.00 
D564-8        8.79   2.56  24.00  1.89   7.05   8.17   0.00    0.22     0.00 
D564-8        8.79   3.07  25.00  2.05   7.04   7.65   0.00    0.00     0.00 
D631-7        7.72   0.45   8.41  1.58   8.40   9.99   0.00   26.06     0.00 
D631-7        7.72   0.90  17.80  2.22  13.51  15.52   0.00   19.64     0.00 
D631-7        7.72   1.35  26.00  2.35  16.70  20.76   0.00   12.17     0.00 
D631-7        7.72   1.80  30.90  2.22  18.72  21.37   0.00    4.50     0.00 
D631-7        7.72   2.25  34.70  1.82  19.90  19.92   0.00    2.10     0.00 
D631-7        7.72   2.69  38.80  1.81  20.61  18.76   0.00    1.13     0.00 
D631-7        7.72   3.14  42.50  1.57  20.73  17.36   0.00    0.54     0.00 
D631-7        7.72   3.59  45.60  1.59  20.61  16.32   0.00    0.37     0.00 
D631-7        7.72   4.04  48.80  1.83  20.38  15.37   0.00    0.18     0.00 
D631-7        7.72   4.49  51.80  1.91  19.90  14.49   0.00    0.10     0.00 
D631-7        7.72   4.94  54.80  2.19  19.43  13.72   0.00    0.05     0.00 
D631-7        7.72   5.39  56.60  2.73  18.84  13.04   0.00    0.03     0.00 
D631-7        7.72   5.84  58.40  3.27  18.25  12.45   0.00    0.01     0.00 
D631-7        7.72   6.29  58.50  3.95  17.65  11.93   0.00    0.01     0.00 
D631-7        7.72   6.74  57.70  4.07  17.06  11.48   0.00    0.00     0.00 
D631-7        7.72   7.19  57.30  3.94  16.47  11.08   0.00    0.00     0.00 
DDO064        6.8    0.10   6.29  4.62  -1.13   1.96   0.00   28.50     0.00 
DDO064        6.8    0.30  13.90  4.62  -2.45   6.31   0.00   27.26     0.00 
DDO064        6.8    0.49  15.60  4.62  -0.64   9.67   0.00   24.99     0.00 
DDO064        6.8    0.69  18.40  4.62   2.49  13.92   0.00   20.86     0.00 
DDO064        6.8    0.89  22.50  4.62   1.87  15.16   0.00   13.91     0.00 
DDO064        6.8    1.09  26.50  4.62   4.97  16.41   0.00   11.73     0.00 
DDO064        6.8    1.29  35.30  4.62   9.29  17.34   0.00   10.30     0.00 
DDO064        6.8    1.48  40.50  4.62  13.62  18.34   0.00    7.96     0.00 
DDO064        6.8    1.68  44.20  4.89  16.26  19.12   0.00    6.72     0.00 
DDO064        6.8    1.88  46.30  4.62  18.16  19.54   0.00    3.97     0.00 
DDO064        6.8    2.08  46.40  4.62  19.64  19.10   0.00    2.84     0.00 
DDO064        6.8    2.27  46.30  4.62  20.17  18.77   0.00    2.16     0.00 
DDO064        6.8    2.37  46.40  6.73  20.59  18.61   0.00    1.86     0.00 
DDO064        6.8    2.98  46.90  8.65  22.17  17.21   0.00    0.00     0.00 
DDO154        4.04   0.49  13.80  1.60   3.74  12.31   0.00   15.93     0.00 
DDO154        4.04   0.99  21.60  0.80   7.46  14.55   0.00    5.52     0.00 
DDO154        4.04   1.48  28.90  0.70  10.87  12.95   0.00    1.26     0.00 
DDO154        4.04   1.97  34.30  0.50  13.32  11.54   0.00    0.29     0.00 
DDO154        4.04   2.47  38.20  0.40  14.77  10.18   0.00    0.08     0.00 
DDO154        4.04   2.96  42.00  0.20  16.20   9.16   0.00    0.02     0.00 
DDO154        4.04   3.46  44.60  0.20  17.60   8.37   0.00    0.01     0.00 
DDO154        4.04   3.95  46.30  0.20  17.91   7.77   0.00    0.00     0.00 
DDO154        4.04   4.44  47.40  0.30  17.48   7.29   0.00    0.00     0.00 
DDO154        4.04   4.94  48.20  0.60  16.93   6.89   0.00    0.00     0.00 
DDO154        4.04   5.43  47.40  0.70  16.28   6.55   0.00    0.00     0.00 
DDO154        4.04   5.92  45.50  1.30  15.64   6.26   0.00    0.00     0.00 
DDO161        7.5    0.60  16.00  3.53   6.82  12.59   0.00   30.32     0.00 
DDO161        7.5    0.73  16.60  4.83   8.12  14.22   0.00   27.69     0.00 
DDO161        7.5    0.85  18.60  2.50   9.30  15.27   0.00   27.15     0.00 
DDO161        7.5    0.98  20.00  7.58  10.41  17.04   0.00   25.71     0.00 
DDO161        7.5    1.07  21.40  4.03  11.27  18.03   0.00   24.23     0.00 
DDO161        7.5    1.54  28.90  2.74  15.22  22.44   0.00   17.21     0.00 
DDO161        7.5    2.02  32.90  2.65  18.74  24.92   0.00   11.77     0.00 
DDO161        7.5    2.49  35.20  2.88  21.52  25.85   0.00    7.54     0.00 
DDO161        7.5    2.96  37.60  3.05  23.28  26.01   0.00    5.12     0.00 
DDO161        7.5    3.43  40.60  3.68  24.59  25.36   0.00    3.64     0.00 
DDO161        7.5    3.90  42.70  3.25  25.62  25.01   0.00    2.55     0.00 
DDO161        7.5    4.37  45.50  2.99  26.35  24.48   0.00    1.74     0.00 
DDO161        7.5    4.86  48.90  1.96  27.08  23.70   0.00    1.09     0.00 
DDO161        7.5    5.34  51.50  1.53  27.81  22.69   0.00    0.64     0.00 
DDO161        7.5    5.81  53.00  1.86  28.40  21.59   0.00    0.46     0.00 
DDO161        7.5    6.28  55.00  1.48  28.98  20.86   0.00    0.36     0.00 
DDO161        7.5    6.75  57.60  0.99  29.57  20.11   0.00    0.24     0.00 
DDO161        7.5    7.22  59.70  1.19  30.30  19.38   0.00    0.16     0.00 
DDO161        7.5    7.69  60.50  1.26  31.18  18.70   0.00    0.11     0.00 
DDO161        7.5    8.16  61.80  1.33  32.06  18.06   0.00    0.07     0.00 
DDO161        7.5    8.64  62.90  1.35  32.64  17.47   0.00    0.05     0.00 
DDO161        7.5    9.11  63.00  2.09  33.23  16.94   0.00    0.03     0.00 
DDO161        7.5    9.58  64.50  2.38  33.38  16.44   0.00    0.02     0.00 
DDO161        7.5   10.05  65.60  1.08  33.38  15.98   0.00    0.02     0.00 
DDO161        7.5   10.52  67.50  3.22  32.79  15.57   0.00    0.01     0.00 
DDO161        7.5   10.99  66.80  2.37  32.06  15.18   0.00    0.01     0.00 
DDO161        7.5   11.46  66.80  0.95  31.18  14.81   0.00    0.00     0.00 
